File Version	v3.03.00
Modified Date	07/23/2020
Modified Time	15:48:54

SceneID	RoomID	SceneName
3	-1	
1	-1	
2	256	All On
4	256	All Off
5	256	Scene 1
6	256	Scene 2
7	256	Scene 3
8	256	Scene 4

